Involvement ID;Investor ID Downstream;Investor Name Downstream;Investor ID Upstream;Investor Name Upstream;Relation type;Investment type;Ownership share;Loan amount;Loan currency;Loan date;Comment
14955;46611;SP New Energy Corporation (SPNEC);45264;MERALCO PowerGen CORP (MGen);Материнская компания;Доли капитала;35.7;;;;
14956;46684;Terra Solar Philippines, Inc. (TSPI);46611;SP New Energy Corporation (SPNEC);Материнская компания;Доли капитала;100.0;;;;"Terra Solar Philippines, Inc. (TSPI), a wholly owned subsidiary of SP New Energy Corporation (SPNEC), is developing the Philippines’ largest solar facility.

"
14957;46686;North Luzon Renewable Energy Corp.;45266;AC Energy Corporation (ACEN);Материнская компания;Доли капитала;67.0;;;;
14958;46686;North Luzon Renewable Energy Corp.;43569;UPC Renewables;Материнская компания;Доли капитала;;;;;
14959;46384;Kennemer Eco Solutions Pte Ltd. (KenEco);46642;Kennemer Group;Материнская компания;Доли капитала;;;;;
14960;46687;Bayog Wind Power Corpation (BWPC);45266;AC Energy Corporation (ACEN);Материнская компания;Доли капитала;100.0;;;;"On Wednesday, the Ayala-led firm said it will also be raising its ownership in Bayog Wind Power Corp. to 100% from the previous 85%. Bayog Wind operates the 160-MW Pagudpud wind farm, which is under development.

"
14961;46690;Green Earth Power (Myanmar) Co. Ltd;46691;Green Earth Power (Thailand) Co. Ltd.;Материнская компания;;;;;;
14962;46692;PV Sinag Power, Inc.;45501;Aboitiz Power Corporation (AP);Материнская компания;Доли капитала;100.0;;;;"Aboitiz Power Corporation (AboitizPower), through PV Sinag Power, Inc., a special purpose vehicle of its subsidiary, Aboitiz Renewables, Inc. (ARI), recently entered into Engineering, Procurement and Construction (EPC) agreements for its 159-MWp Laoag and Laoag 2 solar power project in Barangay Laoag, Aguilar, Pangasinan.

"
14963;46693;Siam Solar Energy 1 Co. Ltd.;46694;Thai Solar Energy Public Company Limited;Материнская компания;;;;;;
14964;46693;Siam Solar Energy 1 Co. Ltd.;42878;Global Power Synergy Public Company Limited (GRSC);Материнская компания;;;;;;
14965;46689;Agrofin d.o.o. Trebinje;46695;Podrumi manastira Tvrdoš;Материнская компания;;68.44;;;;
14966;46689;Agrofin d.o.o. Trebinje;46696;Komrad d.o.o. Trebinje;Материнская компания;;15.0;;;;
14967;46689;Agrofin d.o.o. Trebinje;46697;Bankom d.o.o. Beograd;Материнская компания;;11.56;;;;
14968;46699;SolarAce1 Energy Corporation (SolarAce1);45266;AC Energy Corporation (ACEN);Материнская компания;Доли капитала;100.0;;;;
14969;46700;Hepok Mostar LLC;46701;AgroHerc Organic LLC;Материнская компания;;100.0;;;;
14970;46701;AgroHerc Organic LLC;46702;Ekotera LLC;Материнская компания;;;;;;
14971;46701;AgroHerc Organic LLC;46703;Erich Preißler Vermögensverwaltungs LLC;Материнская компания;;;;;;
14972;46704;Ministry of Environment (MoE);46630;Royal Government of Cambodia (RGC);Материнская компания;;;;;;
14973;46708;Agrohercegovina Nevesinje JSC;46709;Marc Toma;Материнская компания;;49.7;;;;
14974;46708;Agrohercegovina Nevesinje JSC;46710;Henry Toma;Материнская компания;;24.9;;;;
14975;46708;Agrohercegovina Nevesinje JSC;46711;Keiser Heinz Peter;Материнская компания;;24.8;;;;
14976;46712;Krissana Wind Power Co., Ltd;45751;Wind Energy Holding Co., Ltd. (Wind Energy);Материнская компания;Доли капитала;;;;;
14977;46714;Farmland Nova Topola JSC;46715;Farmland LLC;Материнская компания;;36.97;;;;
14978;46714;Farmland Nova Topola JSC;46716;FL GRUPA Nova Topola LLC;Материнская компания;;43.13;;;;
14979;46718;Zeraa Agriculture Investment Management LLC Sarajevo;46719;Zeraa Investment LLC;Материнская компания;;100.0;;;;
14980;46717;Bosnaplod Brčko LLC;46718;Zeraa Agriculture Investment Management LLC Sarajevo;Материнская компания;;;;;;
14981;46720;Bo Thong Wind Farm Co., Ltd.;45279;B.Grimm Power Public Company Limited;Материнская компания;Доли капитала;92.2;;;;The Bo Thong 1 and 2 wind farms are operated by Bo Thong Wind Farm, 92.2% owned by B.Grimm.
14982;46723;Poljoprivrednik Derventa LLC;46724;Agro Invest Group LLC;Материнская компания;;100.0;;;;
14983;46725;Poljoprivrednik Odžak LLC;46724;Agro Invest Group LLC;Материнская компания;;100.0;;;;
14984;46736;K.R. Two Company Limited;45416;RATCH Group PCL;Материнская компания;Доли капитала;0.0;;;;"20 (held by RATCH Group Public Company Limited)
"
14985;46737;Wind Energy Development Co. Ltd., (WED);45757;Gunkul Engineering Public Company Limited (GUNKUL);Материнская компания;Доли капитала;99.99;;;;shares are based on the 53-1 report
14986;46737;Wind Energy Development Co. Ltd., (WED);45296;Gulf Energy Development Public Company;Материнская компания;Доли капитала;0.1;;;;
14987;36342;Zambia Sugar Plc;45358;Associated British Foods plc;Третичный инвестор/заимодатель;;100.0;;;;Illovo Sugar Africa is a subsidiary of Associated British Foods based in London
14988;46744;Gulf Tay Ninh 2 Joint Stock Company;45296;Gulf Energy Development Public Company;Материнская компания;;90.0;;;;
14989;46744;Gulf Tay Ninh 2 Joint Stock Company;46746;Thanh Thanh Cong Group;Материнская компания;;10.0;;;;
14990;45348;Energy Development Corporation (EDC);46748;First Gen Corporation (FGEN);Материнская компания;Доли капитала;;;;;Energy Development Corporation (EDC), the world’s largest vertically-integrated geothermal company, is a subsidiary of First Gen that is primarily engaged in the exploration, development, operation, and optimization of geothermal steamfields, and in power generation. Prior to November 2007, EDC was a government-owned and controlled corporation, known as Philippine National Oil Company-Energy Development Corporation (PNOC-EDC).
14991;46755;Dau Tieng Tay Ninh Energy Joint Stock Company;45279;B.Grimm Power Public Company Limited;Материнская компания;;100.0;;;;The Asian Development Bank will provide long-term financing for the operation of the 240-megawatt solar photovoltaic power plant in Tay Ninh Province, Viet Nam, developed by Dau Tieng Tay Ninh Energy Joint Stock Company (DTE). B.Grimm Power Public Company Limited fully owns DTE
14992;46758;Goryn Agro Plus LLC;40582;Investment company Vitagro LLC;Материнская компания;;90.0;;;;
14995;46751;Dutafic-Algérie;39458;Government of Algeria;Материнская компания;Доли капитала;;;;;"An Algerian-Saudi investment project with an allocation exceeding DZD 12 billion.
Partnership witha  Saudi Company."
14996;46751;Dutafic-Algérie;46752;Unknown Saudi investor;Материнская компания;Доли капитала;;;;;
14997;46749;SARL Dunaysir JV;46750;Dekinsan Group;Материнская компания;Доли капитала;;;;;Joint Algerian-Turkish agriculture project
14998;46749;SARL Dunaysir JV;39458;Government of Algeria;Материнская компания;Доли капитала;;;;;Join Algerian-Turkish Agriculture project
14999;46759;Agroton PJSC;46760;Living LLC;Материнская компания;;100.0;;;;
15000;46760;Living LLC;38647;Agroton Public Limited;Материнская компания;;99.0;;;;
15001;46761;Novyi Shliakh LLC;46759;Agroton PJSC;Материнская компания;;99.9;;;;
15002;46761;Novyi Shliakh LLC;46760;Living LLC;Материнская компания;;0.1;;;;
15003;46762;Shyikivske LLC;46759;Agroton PJSC;Материнская компания;;94.6;;;;
15004;46015;Majestic Energy Corp.;46763;HRD Singapore Pte. Ltd.;Материнская компания;Доли капитала;96.92;;;;The ERC said the redemption of the preferred shares and the divestment of the preferred shares by HRD Singapore to Majestic Holdings resulted in almost 96.923% ownership by the holding firm of Majestic Energy.
15005;46764;GIGASOL3, INC.;45266;AC Energy Corporation (ACEN);Материнская компания;Доли капитала;100.0;;;;AC Energy Philippines (ACEN) is the owner and developer of Gigasol 3 Solar Farm Project through its subsidiary, Gigasol3, Inc
15006;46764;GIGASOL3, INC.;43466;Asian Development Bank (ADB);Третичный инвестор/заимодатель;Привлечение заемного капитала;;20000000.0;US Dollar ($);;The transaction involves a debt investment of up to $20,000,000 in Green Bonds to be issued by AC Energy Finance International Limited, for the AC Energy Green Bond project. The proceeds of the bond offering will be used primarily for solar and wind projects in the Philippines, Indonesia, Viet Nam.
15007;45775;Şehzade Enerji Üretim Ticaret Sanayi Anonim Şirketi;46765;Eurowind Holdings (Malta);Материнская компания;;45.0;;;;
15008;45775;Şehzade Enerji Üretim Ticaret Sanayi Anonim Şirketi;46766;GNCR Holding;Материнская компания;;55.0;;;;
15009;46767;PE Agro;46760;Living LLC;Материнская компания;;100.0;;;;
15010;46726;Sonvanger Solar Power Plant (RF) (Pty) Ltd​;42311;Nedbank Limited;Материнская компания;Привлечение заемного капитала;;;;;Financial close reached for the R2-billion project, with 85% debt funding secured from Nedbank and Absa.
15011;46726;Sonvanger Solar Power Plant (RF) (Pty) Ltd​;44688;ABSA Bank;Материнская компания;Привлечение заемного капитала;;;;;
15012;46726;Sonvanger Solar Power Plant (RF) (Pty) Ltd​;45916;Pele Green Energy;Материнская компания;Доли капитала;;;;;
