Investor ID;Name;Country of registration/origin;Classification;Investor homepage;Opencorporates link;Comment;Action comment
595;Nandan Cleantec PLC;United Kingdom of Great Britain and Northern Ireland;Компания, имеющая листинг на фондовой бирже;;;see Nandan's Annual Report 2012/13, p. 32
596;Bharat Petroleum Corporation Ltd;India;Частная компания;;;
597;Shapoorji Pallonji Corporation Ltd;India;Частная компания;;;
598;Karuturi Global Ltd.;India;Компания, имеющая листинг на фондовой бирже;;;"A liquidator has been appointed in March 2021. 
(https://www.moneycontrol.com/livefeed_pdf/Feb2021/DEF08FDE-DCAF-4938-8C15-5EF16C048DCE-205038.pdf?classic=true)"
599;Jayaswal Neco Industries Limited (JNIL);India;Компания, имеющая листинг на фондовой бирже;;;
600;Monnet Ispat & Energy Ltd.;India;Компания, имеющая листинг на фондовой бирже;;;
601;Sarda Energy & Minerals Ltd;India;Компания, имеющая листинг на фондовой бирже;;;"the company was formerly known as ""Raipur Alloys & Steels Limited"""
605;Brandix Lanka Limited;Sri Lanka;Частная компания;;;
607;MAS Holdings;Sri Lanka;Частная компания;;;
608;IFFCO Kisan SEZ Limited.;India;Частная компания;;;
609;Rassai Properties & Industries Limited;India;Частная компания;;;
613;Krishnapatnam Infratech Pvt. Ltd.;India;Частная компания;https://www.kpil.in/;;
615;Cadila Pharmaceuticals Limited;India;Частная компания;;;
618;Chervil Infrastructure Private Limited;India;Частная компания;;;
622;Sinima Meadows Limited;India;;;;
628;Marathon Prachin Infrastructures Private Limited;India;Частная компания;;;
634;State Industrial Development Corporation of Uttaranchal Ltd;India;Государственная компания;;;
647;KRAM S.A.;Mexico;;;;
648;Ted Turner;United States of America;Частный предприниматель;;;
651;Glencore Xstrata PLC;Switzerland;Компания, имеющая листинг на фондовой бирже;;;Glencore Xstrata PLC was created in May 2013 through the merger of Glencore with Xstrata.
652;Beidahuang Kenfeng Seed Co Ltd;China;Государственная компания;;;
656;AgroGeneration;France;Компания, имеющая листинг на фондовой бирже;;;"In 2013, AgroGeneration merged with Harmelia. Harmelia was owned by the international investment fund SigmaBleyzer Fund IV (SBF IV) (managed by SigmaBleyzer Investment Group LLC based in Houston, Texas). For the transfer of 100% of the Harmelia shares, Konkur Investments Limited (holding company owned by SBF IV) received 57,264,394 new AgroGeneration shares (a 62% stake).
In December 2023, NOVAAGRO UKRAINE LLC acquired shares in Agrogeneration JSC. As part of the transaction, Konkur Investments Limited will sell almost 126.1 million shares of AgroGeneration (representing 56.90% of the share capital)."
657;Pergam Finance;France;Инвестиционный фонд;;;Founded in 2005 by PERGAM Finance, Campos Orientales owns and operates nearly 45,000 hectares of farmland in Uruguay and Argentina (4 farms in Uruguay)
661;Alkhorayef Group;Saudi Arabia;Частная компания;;;
662;Adecoagro S.A.;Luxembourg;Компания, имеющая листинг на фондовой бирже;;;
669;COMIBOL (Corporación Minera de Bolivia);Bolivia;Государственная компания;;;
670;Korea Resources Corporation (Kores);Republic of Korea;Государственная компания;;;
673;Shanghai Pengxin Group Co., Ltd;China;Частная компания;;;
674;Macquarie Group Ltd;Australia;Инвестиционный фонд;;;
678;Chongqing Grain Group;China;Государственная компания;;;
679;Afirma/Quabit Inmobiliaria SA;Spain;Частная компания;;;
681;Louis Dreyfus Group;Netherlands;Частная компания;;;another part is Sistema JFSK
682;Mitsui;Japan;Компания, имеющая листинг на фондовой бирже;;;(49.9%)
694;Shree Renuka Sugars;India;Частная компания;;;
697;Biogreen Oil B.V.;Netherlands;Частная компания;;;
698;Plant a. Bio;Brazil;Частная компания;;;
699;Floresteca Holding N.V.;Netherlands;Частная компания;;;
706;Monaxxion;China;Инвестиционный фонд;;;
707;Walton International Group Inc.;United States of America;Инвестиционный фонд;;;
711;Aceites Borges;Spain;Частная компания;;;
713;Grupo Torres;Spain;Частная компания;;;
720;Ecopetrol;Colombia;Государственная компания;;;The operator is SAVIA Peru.
725;Muriel Mining Corporation (MMC);Panama;Частная компания;;https://opencorporates.com/companies/pa/659909;"The company was originally registered in the US but it was closed on August 17, 2010.  On April 24, 2009, a company with the name La Muriel Mining Corporation was registered and is the operating company in Colombia. There were some strange movements with the project Mandé Norte and they were related to Michel Juilland. On April 8, 2011, La Muriel was sold to Sunward Resources Ltd (Canadian Company - Mr Juilland was a board member). On December 13, 2011, the company was again sold to GoldPlata Mining Corporation, a company in which Mr. Juilland is the president, according to Bloomberg.

Sources: 

https://www.sec.gov/Archives/edgar/data/1543418/000106299315002745/def14a.htm"
727;AngloGold Ashanti;South Africa;Компания, имеющая листинг на фондовой бирже;;;
737;Barcelo' (22 hoteles), Occidental (12), Riu (10), Iberostar (6), Sol Melia' (4);Spain;;;;
740;Repsol;Spain;Частная компания;;;
766;Government of Mexico;Mexico;Государственная компания;;;
767;Global Clean Energy Holdings Inc. (GCEH);United States of America;Частная компания;;;
777;Global Farming Limited;United Kingdom of Great Britain and Northern Ireland;;;;
778;RCPL Food Processing Pvt. LTDA.;India;;;;
785;State Trading Corporation;India;Государственная компания;;;
806;Grupo Romero;Peru;Частная компания;;;
814;DOE RUN PERU S.R.L.;United States of America;Частная компания;;;
815;Monterrico Metals;United Kingdom of Great Britain and Northern Ireland;Частная компания;;;
819;Pluspetrol;Argentina;Частная компания;;;
821;Eco América;Korea, Dem. People's Rep.;Частная компания;;;
822;Van der Staaij Barendrecht B.V., Barendrecht;Netherlands;Частная компания;;;
823;Los Grobo;Argentina;;;;
